Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Height_Male,Height_Female,Weight_Male,Weight_Female,Life_Expectancy,Temperament,Group,Breed,URL,min_height_male,max_height_male,min_height_female,max_height_female,min_weight_male,max_weight_male,min_weight_female,max_weight_female,min_expectancy,max_expectancy
3,3,3,3,3,1,Wiry,Short Medium,5,3,3,4,3,3,3,3,9-11.5 inches,Info Not Available,7-10 pounds,Info Not Available,12-15 years,"confident,famously funny,fearless",Toy group,Affenpinscher,https://www.akc.org/dog-breeds/affenpinscher/,22.86,29.21,0.0,0.0,3.175144,4.53592,0.0,0.0,12.0,15.0
3,3,3,1,4,1,Silky,Long,3,3,3,3,1,4,3,3,25-27 inches,Info Not Available,50-60 pounds,Info Not Available,12-18 years,"independent,sweet",Hound group,Afghan Hound,https://www.akc.org/dog-breeds/afghan-hound/,63.5,68.58,0.0,0.0,22.6796,27.215519999999998,0.0,0.0,12.0,18.0
3,3,3,1,3,1,Wiry,Short Medium,3,3,5,3,3,3,3,3,23 inches,Info Not Available,50-70 pounds,Info Not Available,11-14 years,"friendly,courageous,clever",Terrier group,Airedale Terrier,https://www.akc.org/dog-breeds/airedale-terrier/,58.42,58.42,0.0,0.0,22.6796,31.75144,0.0,0.0,11.0,14.0
3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3,26-28 inches (male),24-26 inches (female),100-130 pounds (male),70-100 pounds (female),10-14 years,"dignified,courageous,profoundly loyal",Working group,Akita,https://www.akc.org/dog-breeds/akita/,66.04,71.12,60.96,66.04,45.3592,58.96696,31.75144,45.3592,10.0,14.0
3,3,5,3,3,1,Double,Medium,1,3,3,3,3,3,3,3,12 - 17 inches,Info Not Available,6 - 25 lbs,Info Not Available,13-16 years,"loyal,intelligent,vigilant",Foundation stock service,Alaskan Klee Kai,https://www.akc.org/dog-breeds/alaskan-klee-kai/,30.48,43.18,0.0,0.0,2.721552,11.3398,0.0,0.0,13.0,16.0
3,3,3,3,3,1,Double,Medium,3,3,4,3,5,4,3,3,25 inches (male),23 inches (female),85 pounds (male),75 pounds (female),10-14 years,"loyal,playful,affectionate",Working group,Alaskan Malamute,https://www.akc.org/dog-breeds/alaskan-malamute/,63.5,63.5,58.42,58.42,38.55532,38.55532,34.0194,34.0194,10.0,14.0
0,3,3,2,0,0,Smooth,Short,0,0,0,0,4,0,1,0,22-25 inches (males); 20-23 inches (females),Info Not Available,75-100 pounds (males); 60-80 pounds (females),Info Not Available,10-12 years,"loyal,self-confident",Foundation stock service,American Bulldog,https://www.akc.org/dog-breeds/american-bulldog/,55.88,63.5,0.0,0.0,34.0194,45.3592,0.0,0.0,10.0,12.0
3,3,5,2,1,1,Smooth,Short,3,3,3,3,3,4,4,3,24-26 inches (male),23-25 inches (female),45-65 pounds,Info Not Available,11-12 years,"sociable,sweet,mellow",Hound group,American English Coonhound,https://www.akc.org/dog-breeds/american-english-coonhound/,60.96,66.04,58.42,63.5,20.41164,29.48348,0.0,0.0,11.0,12.0
5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3,9-12 inches (toy),12-15 inches (miniature),6-10 pounds (toy),10-20 pounds (miniature),13-15 years,"Loyal,Smart,Versatile",Non-sporting group,American Eskimo Dog,https://www.akc.org/dog-breeds/american-eskimo-dog/,22.86,30.48,30.48,38.1,2.721552,4.53592,4.53592,9.07184,13.0,15.0
3,5,5,3,1,1,Smooth,Short,3,3,3,3,3,4,5,3,22-25 inches (male),21-24 inches (female),65-70 pounds (male),60-65 pounds (female),11-13 years,"independent,easy-going,sweet-tempered",Hound group,American Foxhound,https://www.akc.org/dog-breeds/american-foxhound/,55.88,63.5,53.34,60.96,29.48348,31.75144,27.215519999999998,29.48348,11.0,13.0
5,5,3,1,1,1,Hairless,Short,3,3,3,5,5,3,3,3,12-16 inches,Info Not Available,12-16 pounds,Info Not Available,14-16 years,"alert,curious,energetic",Terrier group,American Hairless Terrier,https://www.akc.org/dog-breeds/american-hairless-terrier/,30.48,40.64,0.0,0.0,5.443104,7.257472,0.0,0.0,14.0,16.0
3,5,5,3,1,1,Smooth,Short,1,3,5,5,3,4,5,5,22 - 27 males,21 - 25 females,45 - 75 lbs males,35 - 65 lbs females,12-15 years,"intelligent,sociable,energetic",Foundation stock service,American Leopard Hound,https://www.akc.org/dog-breeds/american-leopard-hound/,55.88,68.58,53.34,63.5,20.41164,34.0194,15.87572,29.48348,12.0,15.0
5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3,18-19 inches (male),17-18 inches (female),55-70 pounds (male),40-55 pounds (female),12-16 years,"good-natured,confident,smart",Terrier group,American Staffordshire Terrier,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,45.72,48.26,43.18,45.72,24.94756,31.75144,18.14368,24.94756,12.0,16.0
3,3,3,1,3,1,Double Curly,Medium,3,3,3,3,5,3,3,3,15-18 inches,Info Not Available,30-45 pounds (male),25-40 pounds (female),10-14 years,"charming,eager,happy",Sporting group,American Water Spaniel,https://www.akc.org/dog-breeds/american-water-spaniel/,38.1,45.72,0.0,0.0,13.607759999999999,20.41164,11.3398,18.14368,10.0,14.0
1,3,3,3,2,1,Smooth,Short,1,3,5,3,2,3,3,3,29 inches (male),27 inches (female),110-150 pounds (male),80-120 pounds (female),11-13 years,"reserved,independent,loyal",Working group,Anatolian Shepherd Dog,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,73.66,73.66,68.58,68.58,49.89512,68.0388,36.28736,54.431039999999996,11.0,13.0
5,3,5,3,3,3,N A,Short,1,3,5,5,5,5,5,5,20 -22 inches,Info Not Available,48-70 pounds,Info Not Available,13-15 years,"versatile,agile,lively",Foundation stock service,Appenzeller Sennenhund,https://www.akc.org/dog-breeds/appenzeller-sennenhund/,50.8,55.88,0.0,0.0,21.772416,31.75144,0.0,0.0,13.0,15.0
3,3,3,3,1,1,Smooth Double,Short,3,3,4,3,4,5,1,4,18-20 inches (male),17-19 inches (female),35-50 pounds,Info Not Available,12-16 years,"Loyal,Intelligent,Tenacious",Herding group,Australian Cattle Dog,https://www.akc.org/dog-breeds/australian-cattle-dog/,45.72,50.8,43.18,48.26,15.87572,22.6796,0.0,0.0,12.0,16.0
3,3,3,3,1,1,Smooth Double,Short,3,3,4,3,4,5,1,4,17-20 inches,Info Not Available,35-50 lbs,Info Not Available,10-13 years,"alert,loyal,intelligent",Foundation stock service,Australian Kelpie,https://www.akc.org/dog-breeds/australian-kelpie/,43.18,50.8,0.0,0.0,15.87572,22.6796,0.0,0.0,10.0,13.0
3,5,3,3,2,1,Double,Medium,3,4,3,3,5,5,3,5,20-23 inches (male),18-21 inches (female),50-65 pounds (male),40-55 pounds (female),12-15 years,"smart,work-oriented,exuberant",Herding group,Australian Shepherd,https://www.akc.org/dog-breeds/australian-shepherd/,50.8,58.42,45.72,53.34,22.6796,29.48348,18.14368,24.94756,12.0,15.0
1,3,1,3,3,1,Double,Short,1,3,3,3,3,5,1,5,18-20 inches (males),17-19 inches (females),38-45 lbs (males),32-35 lbs (females),12-15 years,"alert,active,bidable",Foundation stock service,Australian Stumpy Tail Cattle Dog,https://www.akc.org/dog-breeds/australian-stumpy-tail-cattle-dog/,45.72,50.8,43.18,48.26,17.236496,20.41164,14.514944,15.87572,12.0,15.0
3,5,3,1,2,1,Wiry,Short,3,4,4,3,4,4,5,4,10-11 inches,Info Not Available,15-20 pounds,Info Not Available,11-15 years,"courageous,affectionate,spirited",Terrier group,Australian Terrier,https://www.akc.org/dog-breeds/australian-terrier/,25.4,27.94,0.0,0.0,6.8038799999999995,9.07184,0.0,0.0,11.0,15.0
3,3,3,2,2,1,Smooth,Short,1,3,3,3,2,3,1,3,25-29 inches (male),23.5-27.5 inches (female),44-55 pounds (male),33-44 pounds (female),12-15 years,"independent,loyal,deeply affectionate",Hound group,Azawakh,https://www.akc.org/dog-breeds/azawakh/,63.5,73.66,59.69,69.85,19.958047999999998,24.94756,14.968536,19.958047999999998,12.0,15.0
4,3,3,1,5,1,Curly Wavy,Medium Long,3,3,3,3,4,3,3,3,19-24.5 inches,Info Not Available,35-65 pounds,Info Not Available,12-14 years,"friendly,bright,sweet-natured",Sporting group,Barbet,https://www.akc.org/dog-breeds/barbet/,48.26,62.230000000000004,0.0,0.0,15.87572,29.48348,0.0,0.0,12.0,14.0
3,3,3,2,1,1,Smooth,Short,3,3,3,3,2,4,1,4,17 inches (male),16 inches (female),24 pounds (male),22 pounds (female),13-14 years,"independent,smart,poised",Hound group,Basenji,https://www.akc.org/dog-breeds/basenji/,43.18,43.18,40.64,40.64,10.886208,10.886208,9.979023999999999,9.979023999999999,13.0,14.0
3,5,5,3,1,1,Wiry Double,Medium,5,3,1,5,1,4,3,5,12.5-15.5 inches,Info Not Available,23-39 pounds,Info Not Available,13-16 years,"sociable,lively,smart",Foundation stock service,Basset Fauve de Bretagne,https://www.akc.org/dog-breeds/basset-fauve-de-bretagne/,31.75,39.37,0.0,0.0,10.432616,17.690088,0.0,0.0,13.0,16.0
3,5,5,2,3,4,Smooth,Short,3,3,3,3,3,2,4,3,up to 15 inches,Info Not Available,40-65 pounds,Info Not Available,12-13 years,"charming,patient,low-key",Hound group,Basset Hound,https://www.akc.org/dog-breeds/basset-hound/,38.1,38.1,0.0,0.0,18.14368,29.48348,0.0,0.0,12.0,13.0
3,5,5,3,2,1,Smooth,Short,3,4,2,4,3,4,4,4,13 inches & under,13-15 inches,under 20 pounds (13 inches & under),20-30 pounds (13-15 inches),10-15 years,"curious,friendly,merry",Hound group,Beagle,https://www.akc.org/dog-breeds/beagle/,33.02,33.02,33.02,38.1,9.07184,9.07184,9.07184,13.607759999999999,10.0,15.0
4,5,5,3,4,1,Silky,Long,4,4,3,4,3,4,5,3,21-22 inches (male),20-21 inches (female),45-55 pounds,Info Not Available,12-14 years,"smart,bouncy,charismatic",Herding group,Bearded Collie,https://www.akc.org/dog-breeds/bearded-collie/,53.34,55.88,50.8,53.34,20.41164,24.94756,0.0,0.0,12.0,14.0
3,3,3,4,3,1,Smooth Double,Short,2,3,4,3,3,5,3,3,25.5-27.5 inches (male),24-26.5 inches (female),70-110 pounds,Info Not Available,10-12 years,"faithful,gentle,obedient",Herding group,Beauceron,https://www.akc.org/dog-breeds/beauceron/,64.77,69.85,60.96,67.31,31.75144,49.89512,0.0,0.0,10.0,12.0
3,3,3,1,3,1,Curly,Medium,3,3,4,3,3,4,3,3,15-17.5 inches,Info Not Available,17-23 pounds,Info Not Available,11-16 years,"loyal,charming,frollicking",Terrier group,Bedlington Terrier,https://www.akc.org/dog-breeds/bedlington-terrier/,38.1,44.45,0.0,0.0,7.711064,10.432616,0.0,0.0,11.0,16.0
3,3,3,3,2,1,Wiry Rough,Medium,3,3,4,3,5,4,3,4,24-26 inches (male),22-24 inches (female),55-65 pounds,Info Not Available,10-12 years,"alert,intelligent,affectionate",Herding group,Belgian Laekenois,https://www.akc.org/dog-breeds/belgian-laekenois/,60.96,66.04,55.88,60.96,24.94756,29.48348,0.0,0.0,10.0,12.0
3,3,3,3,2,1,Smooth,Short,3,3,4,3,5,4,3,4,24-26 inches (male),22-24 inches (female),60-80 pounds (male),40-60 pounds (female),14-16 years,"confident,smart,hardworking",Herding group,Belgian Malinois,https://www.akc.org/dog-breeds/belgian-malinois/,60.96,66.04,55.88,60.96,27.215519999999998,36.28736,18.14368,27.215519999999998,14.0,16.0
3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4,24-26 inches (male),22-24 inches (female),55-75 pounds (male),45-60 pounds (female),12-14 years,"bright,watchful,serious-minded",Herding group,Belgian Sheepdog,https://www.akc.org/dog-breeds/belgian-sheepdog/,60.96,66.04,55.88,60.96,24.94756,34.0194,20.41164,27.215519999999998,12.0,14.0
3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4,24-26 inches (male),22-24 inches (female),55-75 pounds (male),45-60 pounds (female),12-14 years,"alert,intelligent,courageous",Herding group,Belgian Tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/,60.96,66.04,55.88,60.96,24.94756,34.0194,20.41164,27.215519999999998,12.0,14.0
3,3,3,1,1,2,Corded,Long,3,3,4,3,3,3,1,3,23.5 inches (male),22 inches (female),70-84 pounds (male),57-71 pounds (female),13-15 years,"independent,intelligent,sociable",Herding group,Bergamasco Sheepdog,https://www.akc.org/dog-breeds/bergamasco-sheepdog/,59.69,59.69,55.88,55.88,31.75144,38.101728,25.854744,32.205032,13.0,15.0
3,3,3,3,1,1,Wiry,Medium,3,3,4,3,4,4,2,4,23.5-25.5 inches (male),21.5-23.5 inches (female),50-70 pounds,Info Not Available,12-13 years,"loyal,good-natured,observant",Herding group,Berger Picard,https://www.akc.org/dog-breeds/berger-picard/,59.69,64.77,54.61,59.69,22.6796,31.75144,0.0,0.0,12.0,13.0
5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3,25-27.5 inches (male),23-26 inches (female),80-115 pounds (male),70-95 pounds (female),7-10 years,"good-natured,calm,strong",Working group,Bernese Mountain Dog,https://www.akc.org/dog-breeds/bernese-mountain-dog/,63.5,69.85,58.42,66.04,36.28736,52.16308,31.75144,43.09124,7.0,10.0
5,5,5,1,5,1,Double Curly,Long,5,4,2,4,4,4,3,3,9.5-11.5 inches,Info Not Available,12-18 pounds,Info Not Available,14-15 years,"curious,playful,peppy",Non-sporting group,Bichon Frise,https://www.akc.org/dog-breeds/bichon-frise/,24.13,29.21,0.0,0.0,5.443104,8.164656,0.0,0.0,14.0,15.0
5,3,5,1,3,1,Silky,Long,3,4,2,3,3,3,3,3,7-11 inches,Info Not Available,4-8 pounds,Info Not Available,16 years,"intelligent,devoted,amusing",Toy group,Biewer Terrier,https://www.akc.org/dog-breeds/biewer-terrier/,17.78,27.94,0.0,0.0,1.814368,3.628736,0.0,0.0,16.0,16.0
4,5,5,3,2,3,Smooth,Short,3,3,2,4,3,3,4,3,25-27 inches (male),23-25 inches (female),65-110 pounds,Info Not Available,10-12 years,"easy-going,bright,brave",Hound group,Black and Tan Coonhound,https://www.akc.org/dog-breeds/black-and-tan-coonhound/,63.5,68.58,58.42,63.5,29.48348,49.89512,0.0,0.0,10.0,12.0
3,3,3,3,4,3,Double Curly,Medium Long,2,3,5,4,4,4,3,4,27-30 inches (male),26-29 inches (female),80-130 pounds,Info Not Available,10-12 years,"intelligent,calm,powerful",Working group,Black Russian Terrier,https://www.akc.org/dog-breeds/black-russian-terrier/,68.58,76.2,66.04,73.66,36.28736,58.96696,0.0,0.0,10.0,12.0
4,3,3,3,2,5,Smooth,Short,3,3,2,3,4,3,5,3,25-27 inches (male),23-25 inches (female),90-110 pounds (male),80-100 pounds (female),10-12 years,"independent,friendly,inquisitive",Hound group,Bloodhound,https://www.akc.org/dog-breeds/bloodhound/,63.5,68.58,58.42,63.5,40.82328,49.89512,36.28736,45.3592,10.0,12.0
